Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
2008,New York,0.11800000000000001,0.05,0.254,0.578
2008,North Carolina,0.155,0.054000000000000006,0.248,0.5429999999999999
2008,North Dakota,0.133,0.048,0.254,0.565
2008,Ohio,0.155,0.046,0.254,0.544
2008,Oklahoma,0.185,0.062,0.247,0.506
2008,Oregon,0.11800000000000001,0.045,0.247,0.59
2008,Pennsylvania,0.156,0.057,0.253,0.5329999999999999
2008,Puerto Rico,0.075,0.040999999999999995,0.183,0.701
2008,Rhode Island,0.134,0.04,0.281,0.545
2008,South Carolina,0.14400000000000002,0.055999999999999994,0.252,0.547
2008,South Dakota,0.12,0.055999999999999994,0.261,0.564
2008,Tennessee,0.18,0.051,0.218,0.55
2008,Texas,0.11699999999999999,0.068,0.215,0.6
2008,Utah,0.068,0.025,0.161,0.745
2008,Vermont,0.122,0.046,0.322,0.511
2008,Virginia,0.124,0.040999999999999995,0.24,0.595
2008,Virgin Islands,0.040999999999999995,0.023,0.115,0.821
2008,Washington,0.11699999999999999,0.04,0.267,0.5760000000000001
2008,West Virginia,0.215,0.051,0.254,0.48100000000000004
2008,Wisconsin,0.141,0.057,0.267,0.535
2008,Wyoming,0.149,0.045,0.254,0.552
2007,Alabama,0.165,0.06,0.23199999999999998,0.5429999999999999
2007,Alaska,0.156,0.067,0.271,0.507
2007,Arizona,0.136,0.061,0.24,0.562
2007,Arkansas,0.17300000000000001,0.051,0.237,0.539
2007,California,0.08800000000000001,0.055,0.22899999999999998,0.628
2007,Colorado,0.134,0.053,0.24600000000000002,0.5670000000000001
2007,Connecticut,0.113,0.040999999999999995,0.305,0.541
2007,Delaware,0.151,0.038,0.261,0.5489999999999999
2007,District of Columbia,0.111,0.061,0.22399999999999998,0.604
2007,Florida,0.14300000000000002,0.05,0.262,0.545
2007,Georgia,0.147,0.047,0.22699999999999998,0.579
2007,Guam,0.233,0.076,0.141,0.5489999999999999
2007,Hawaii,0.129,0.040999999999999995,0.26,0.57
2007,Idaho,0.145,0.046,0.226,0.583
2007,Illinois,0.13699999999999998,0.064,0.235,0.564
2007,Indiana,0.182,0.059000000000000004,0.228,0.53
2007,Iowa,0.145,0.053,0.235,0.5670000000000001
2007,Kansas,0.13699999999999998,0.042,0.233,0.588
2007,Kentucky,0.235,0.047,0.239,0.479
2007,Louisiana,0.16899999999999998,0.057,0.20199999999999999,0.5710000000000001
2007,Maine,0.162,0.04,0.308,0.491
2007,Maryland,0.115,0.055999999999999994,0.237,0.593
2007,Massachusetts,0.12,0.044000000000000004,0.285,0.551
2007,Michigan,0.158,0.054000000000000006,0.248,0.541
2007,Minnesota,0.124,0.040999999999999995,0.276,0.5589999999999999
2007,Mississippi,0.185,0.054000000000000006,0.212,0.5479999999999999
2007,Missouri,0.198,0.047,0.23399999999999999,0.521
2007,Montana,0.14800000000000002,0.046,0.266,0.539
2007,Nationwide (States and DC),0.145,0.052000000000000005,0.24600000000000002,0.5479999999999999
2007,"Nationwide (States, DC, and Territories)",0.145,0.052000000000000005,0.244,0.5489999999999999
2007,Nebraska,0.145,0.055,0.23800000000000002,0.562
2007,Nevada,0.161,0.053,0.254,0.531
2007,New Hampshire,0.151,0.042,0.303,0.504
2007,New Jersey,0.12,0.051,0.247,0.5820000000000001
2007,New Mexico,0.131,0.076,0.248,0.544
2007,New York,0.128,0.061,0.255,0.556
2007,North Carolina,0.17600000000000002,0.053,0.248,0.523
2007,North Dakota,0.151,0.059000000000000004,0.253,0.5379999999999999
2007,Ohio,0.177,0.054000000000000006,0.248,0.521
2007,Oklahoma,0.2,0.057999999999999996,0.23199999999999998,0.51
2007,Oregon,0.131,0.038,0.282,0.5489999999999999
2007,Pennsylvania,0.151,0.057999999999999996,0.239,0.551
2007,Puerto Rico,0.075,0.047,0.192,0.6859999999999999
2007,Rhode Island,0.11800000000000001,0.052000000000000005,0.284,0.546
2007,South Carolina,0.162,0.057,0.25,0.531
2007,South Dakota,0.142,0.055999999999999994,0.243,0.5589999999999999
2007,Tennessee,0.2,0.043,0.24,0.518
2007,Texas,0.13,0.064,0.207,0.6
2007,Utah,0.083,0.034,0.158,0.725
2007,Vermont,0.138,0.038,0.307,0.517
2007,Virginia,0.141,0.044000000000000004,0.235,0.58
2007,Virgin Islands,0.055999999999999994,0.03,0.11900000000000001,0.795
2007,Washington,0.122,0.046,0.262,0.57
2007,West Virginia,0.217,0.052000000000000005,0.245,0.486
2007,Wisconsin,0.146,0.05,0.259,0.545
2007,Wyoming,0.175,0.046,0.248,0.531
2006,Alabama,0.17600000000000002,0.055,0.23399999999999999,0.535
2006,Alaska,0.162,0.077,0.276,0.485
2006,Arizona,0.121,0.061,0.249,0.569
2006,Arkansas,0.188,0.048,0.251,0.512
2006,California,0.094,0.055,0.242,0.608
2006,Colorado,0.12300000000000001,0.055999999999999994,0.245,0.5760000000000001
2006,Connecticut,0.11900000000000001,0.051,0.282,0.5479999999999999
2006,Delaware,0.16699999999999998,0.051,0.273,0.509
2006,District of Columbia,0.106,0.073,0.221,0.6
2006,Florida,0.16,0.051,0.261,0.529
2006,Georgia,0.141,0.057999999999999996,0.212,0.588
2006,Hawaii,0.13,0.046,0.251,0.573
2006,Idaho,0.129,0.039,0.23,0.602
2006,Illinois,0.141,0.064,0.237,0.5579999999999999
2006,Indiana,0.18600000000000003,0.055,0.233,0.527
2006,Iowa,0.171,0.043,0.237,0.5479999999999999
2006,Kansas,0.152,0.048,0.24100000000000002,0.5589999999999999
2006,Kentucky,0.243,0.043,0.243,0.47200000000000003
2006,Louisiana,0.177,0.057,0.201,0.564
2006,Maine,0.159,0.05,0.304,0.48700000000000004
2006,Maryland,0.13,0.047,0.226,0.597
2006,Massachusetts,0.13,0.047,0.27699999999999997,0.545
2006,Michigan,0.165,0.057999999999999996,0.254,0.522
2006,Minnesota,0.138,0.045,0.276,0.541
2006,Mississippi,0.179,0.07200000000000001,0.21100000000000002,0.5379999999999999
